DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/15/2018,0:00,QUEENS,11413,40.666405,-73.74538,"(40.666405, -73.74538)",NORTH CONDUIT AVENUE            ,230 PLACE,,1,0,0,0,0,0,1,0,Pavement Slippery,,,,,4021563,Station Wagon/Sport Utility Vehicle,,,,
11/15/2018,0:17,BROOKLYN,11204,40.610115,-73.98489,"(40.610115, -73.98489)",AVENUE O                        ,WEST 11 STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4020952,Sedan,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,0:41,,,40.672062,-73.925255,"(40.672062, -73.925255)",PARK PLACE                      ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4020993,Sedan,Convertible,,,
11/15/2018,0:46,,,40.761856,-73.96343,"(40.761856, -73.96343)",EAST 61 STREET                  ,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,4021088,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/15/2018,10:00,BROOKLYN,11230,40.62684,-73.96848,"(40.62684, -73.96848)",AVENUE I                        ,EAST 8 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4021808,Sedan,Dump,,,
11/15/2018,10:00,QUEENS,11434,40.65965,-73.773834,"(40.65965, -73.773834)",ROCKAWAY BOULEVARD              ,FARMERS BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4021414,Sedan,,,,
11/15/2018,10:00,,,,,,South Elliott Place             ,South Portland Ave,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4021321,Box Truck,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,10:00,BROOKLYN,11229,40.604786,-73.95847,"(40.604786, -73.95847)",,,1835      EAST 14 STREET                ,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,4021389,Sedan,,,,
11/15/2018,10:09,QUEENS,11374,40.728657,-73.863266,"(40.728657, -73.863266)",BOOTH STREET                    ,63 DRIVE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4021355,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/15/2018,10:10,QUEENS,11378,40.722717,-73.919914,"(40.722717, -73.919914)",,,48-85     MASPETH AVENUE                ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4021443,Tractor Truck Diesel,Tanker,,,
11/15/2018,10:10,,,40.856358,-73.826515,"(40.856358, -73.826515)",BRUCKNER EXPRESSWAY             ,,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,4021293,Station Wagon/Sport Utility Vehicle,Taxi,,,
11/15/2018,10:15,MANHATTAN,10036,40.764904,-73.996185,"(40.764904, -73.996185)",,,621       WEST 48 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4021372,Box Truck,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,10:30,BROOKLYN,11215,40.67192,-73.99397,"(40.67192, -73.99397)",,,118       2 AVENUE                      ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4021905,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,
11/15/2018,10:30,BROOKLYN,11230,40.62685,-73.97643,"(40.62685, -73.97643)",,,1080      MC DONALD AVENUE              ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4021811,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,10:32,,,40.664642,-73.93708,"(40.664642, -73.93708)",TROY AVENUE                     ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4021517,Station Wagon/Sport Utility Vehicle,Sedan,,,
11/15/2018,10:35,BROOKLYN,11229,40.61012,-73.961105,"(40.61012, -73.961105)",,,1220      AVENUE P                      ,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4021390,Bike,Sedan,,,
11/15/2018,10:36,BRONX,10473,40.815006,-73.84525,"(40.815006, -73.84525)",ZEREGA AVENUE                   ,NORTON AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4021419,Sedan,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,10:40,,,40.65881,-73.98172,"(40.65881, -73.98172)",PROSPECT PARK WEST              ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4021464,Station Wagon/Sport Utility Vehicle,Dump,,,
11/15/2018,10:42,MANHATTAN,10036,40.754158,-73.98248,"(40.754158, -73.98248)",,,49        WEST 42 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4021508,Station Wagon/Sport Utility Vehicle,,,,
11/15/2018,10:43,MANHATTAN,10065,40.76541,-73.96798,"(40.76541, -73.96798)",PARK AVENUE                     ,EAST 63 STREET,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4021834,Taxi,Taxi,,,
11/15/2018,10:59,BROOKLYN,11215,40.674805,-73.9784,"(40.674805, -73.9784)",PRESIDENT STREET                ,6 AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4021881,Station Wagon/Sport Utility Vehicle,Tractor Truck Diesel,,,
11/15/2018,11:00,,,40.592815,-73.90808,"(40.592815, -73.90808)",BELT PARKWAY                    ,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4021306,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,11:00,,,40.741447,-73.84603,"(40.741447, -73.84603)",GRAND CENTRAL PKWY              ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unsafe Lane Changing,,,,4021403,Sedan,Sedan,,,
11/15/2018,11:00,,,40.706306,-73.919586,"(40.706306, -73.919586)",SUYDAM STREET                   ,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4021858,Station Wagon/Sport Utility Vehicle,,,,
11/15/2018,11:02,QUEENS,11385,40.705936,-73.85734,"(40.705936, -73.85734)",,,89-89     UNION TURNPIKE                ,0,0,0,0,0,0,0,0,Unspecified,,,,,4021433,Box Truck,,,,
11/15/2018,11:15,MANHATTAN,10036,,,,W 45 ST                         ,AVENUE OF THE AMERICAS,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4021374,Van,Sedan,,,
11/15/2018,11:15,,,40.60957,-73.81905,"(40.60957, -73.81905)",CROSS BAY BOULEVARD             ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,4021437,Sedan,Station Wagon/Sport Utility Vehicle,,,
11/15/2018,11:16,BRONX,10456,40.820156,-73.90834,"(40.820156, -73.90834)",,,645       EAST 158 STREET               ,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4021359,Sedan,Sedan,,,
11/15/2018,11:20,MANHATTAN,10035,40.806915,-73.93557,"(40.806915, -73.93557)",EAST 129 STREET                 ,LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,4021469,Sedan,Box Truck,Box Truck,,
11/15/2018,11:21,BROOKLYN,11209,40.61609,-74.03731,"(40.61609, -74.03731)",,,120       96 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4021298,Sedan,Sedan,,,
11/15/2018,11:25,QUEENS,11373,40.745033,-73.87001,"(40.745033, -73.87001)",,,94-41     43 AVENUE                     ,0,0,0,0,0,0,0,0,Following Too Closely,Driver Inattention/Distraction,,,,4021363,Sedan,Station Wagon/Sport Utility Vehicle,,,
